driver_active_count,driver_completed_count,driver_declined_count,driver_failed_count,driver_avg_rating,driver_total_ratings,driver_points,customer_total_orders,customer_points,order_hour,order_day_of_week,order_type,dropoff_city,payment_method,label
0,27,28,16,4.0,2,744,66,308,23,4,package,haifa,cash,0
2,175,6,15,4.7,56,622,18,67,19,3,food,ramallah,cash,0
0,116,32,13,4.5,14,873,70,220,23,2,package,bethlehem,cash,0
1,106,6,10,4.1,32,485,8,93,21,3,package,haifa,cash,0
1,33,35,1,4.0,35,575,42,125,18,6,package,jerusalem,cash,0
1,79,22,3,4.6,27,867,13,358,16,4,online,jerusalem,cash,0
0,109,35,17,5.0,34,29,23,279,14,6,food,haifa,cash,0
0,36,36,12,4.1,40,543,27,385,7,1,package,haifa,cash,0
3,83,36,2,4.2,19,161,6,83,16,5,food,haifa,cash,0
0,69,13,16,4.9,55,607,62,539,21,3,package,bethlehem,cash,0
2,52,19,6,4.6,48,261,37,335,8,0,food,ramallah,cash,0
1,97,34,7,5.0,45,43,55,19,12,1,online,ramallah,cash,0
0,103,45,13,5.0,51,21,41,175,20,4,package,bethlehem,cash,0
1,27,15,13,3.2,5,347,28,341,9,3,online,haifa,cash,0
1,130,12,11,4.8,18,241,13,149,10,4,online,nablus,cash,1
2,160,31,14,2.9,74,578,41,323,9,1,online,tel aviv,cash,0
1,70,37,1,4.6,9,317,59,462,16,6,package,ramallah,cash,1
1,152,32,12,5.0,70,42,57,585,9,4,package,jerusalem,cash,0
2,15,28,3,3.2,10,731,10,516,23,1,online,ramallah,cash,0
1,134,33,5,3.5,36,695,6,342,21,3,food,nablus,cash,1
0,64,42,4,4.8,18,358,39,401,19,2,online,nablus,cash,1
0,84,8,16,4.1,54,316,23,219,19,5,package,bethlehem,cash,0
1,19,18,3,3.6,17,855,67,38,11,1,food,tel aviv,cash,0
2,46,44,5,3.0,2,243,56,291,11,1,online,ramallah,cash,0
2,120,12,11,5.0,73,451,59,288,14,2,food,bethlehem,cash,0
3,64,3,15,3.8,13,127,36,85,11,6,food,tel aviv,cash,0
2,111,5,7,3.6,44,27,53,54,11,6,package,bethlehem,cash,0
3,57,1,10,3.8,53,149,17,39,9,2,food,ramallah,cash,0
0,157,0,2,3.8,27,855,19,561,22,3,online,tel aviv,cash,0
1,31,3,7,4.9,29,511,68,16,14,2,food,haifa,cash,0
0,0,39,11,3.9,3,191,10,536,16,3,online,tel aviv,cash,0
1,129,35,0,5.0,60,382,32,16,23,6,online,bethlehem,cash,1
0,148,21,4,4.6,69,346,22,475,10,6,package,tel aviv,cash,0
0,117,2,9,4.9,25,317,65,407,11,0,online,tel aviv,cash,0
0,91,3,10,3.9,47,447,51,450,13,2,package,jerusalem,cash,0
0,127,23,16,4.4,10,616,23,558,22,5,package,tel aviv,cash,0
0,114,38,13,4.1,56,359,57,43,16,2,food,haifa,cash,0
1,14,4,12,3.9,5,622,56,35,15,5,online,ramallah,cash,1
2,145,2,4,4.3,47,380,56,78,18,3,online,haifa,cash,0
1,29,1,5,4.0,24,793,33,456,15,1,package,haifa,cash,1
0,34,4,14,3.6,28,89,40,355,13,0,online,ramallah,cash,0
0,92,32,7,4.5,25,505,3,369,12,6,package,tel aviv,cash,0
1,22,4,9,3.1,22,736,61,538,11,4,package,bethlehem,cash,0
1,164,4,14,3.6,66,798,70,186,11,2,online,jerusalem,cash,0
0,31,33,4,4.9,10,330,28,354,8,6,package,bethlehem,cash,0
1,141,17,4,3.6,78,172,19,175,13,5,food,haifa,cash,0
0,11,41,18,3.3,6,785,53,31,7,0,online,jerusalem,cash,0
1,175,25,9,4.8,7,475,26,348,22,1,online,haifa,cash,0
1,33,23,16,4.3,20,247,59,125,18,3,online,haifa,cash,0
0,98,39,13,5.0,20,738,40,194,8,2,food,jerusalem,cash,0
3,127,1,2,2.9,64,468,30,220,22,2,online,ramallah,cash,0
0,167,43,15,4.8,1,270,46,412,22,4,food,haifa,cash,0
1,141,18,2,3.8,57,782,70,286,13,2,food,bethlehem,cash,0
2,86,35,11,3.7,25,41,5,39,19,2,food,jerusalem,cash,0
0,155,32,4,4.0,78,326,20,402,21,1,package,bethlehem,cash,0
2,130,34,15,4.3,38,339,14,426,23,6,online,haifa,cash,0
2,148,36,7,4.4,74,491,21,536,15,5,online,ramallah,cash,0
0,146,44,3,4.2,56,707,26,420,14,0,food,nablus,cash,0
1,35,33,6,4.1,30,538,48,321,8,5,online,nablus,cash,0
1,174,41,8,4.9,24,305,28,304,18,5,online,haifa,cash,0
3,122,22,17,4.3,35,294,15,587,22,2,online,nablus,cash,0
1,10,18,2,2.9,14,219,25,551,11,2,package,haifa,cash,0
0,12,42,16,2.6,7,53,12,423,14,1,food,jerusalem,cash,0
2,140,10,13,3.9,60,294,41,292,11,0,food,nablus,cash,0
3,9,11,13,3.6,2,37,50,507,14,4,online,bethlehem,cash,0
0,154,6,10,2.9,69,137,64,479,16,4,food,jerusalem,cash,1
0,65,45,5,3.8,43,809,37,581,21,5,package,tel aviv,cash,0
0,109,32,10,4.6,12,331,31,6,19,6,food,bethlehem,cash,1
0,149,36,0,4.8,46,709,30,63,17,2,package,haifa,cash,1
2,128,45,9,4.1,37,136,61,156,19,5,package,tel aviv,cash,0
2,137,42,6,4.8,76,894,10,538,22,6,package,nablus,cash,0
1,140,32,6,5.0,19,452,14,210,10,0,food,bethlehem,cash,0
1,14,29,4,4.7,14,577,7,572,21,6,food,bethlehem,cash,0
0,0,13,18,3.3,3,61,8,483,19,2,online,jerusalem,cash,1
1,97,28,12,4.6,69,136,44,121,20,2,food,tel aviv,cash,0
1,0,1,9,2.6,5,843,29,253,14,6,online,tel aviv,cash,0
0,169,26,0,4.2,8,103,4,457,10,0,package,tel aviv,cash,1
0,112,14,17,5.0,7,239,40,591,8,3,food,nablus,cash,0
0,133,14,13,5.0,7,570,22,437,11,5,food,haifa,cash,0
1,134,20,13,3.6,38,484,30,230,19,6,package,nablus,cash,0
1,142,33,4,5.0,32,208,42,80,20,3,package,jerusalem,cash,0
3,68,24,1,4.4,24,687,27,490,13,0,food,bethlehem,cash,0
2,30,30,7,2.8,13,406,30,565,13,1,package,jerusalem,cash,0
3,66,23,16,5.0,59,480,40,208,18,2,package,ramallah,cash,0
1,37,1,8,4.9,37,593,53,302,14,5,food,bethlehem,cash,1
0,140,41,10,5.0,62,502,58,172,14,3,food,ramallah,cash,0
1,138,41,1,4.2,9,837,6,6,22,1,food,tel aviv,cash,0
1,55,32,14,2.9,39,494,62,16,11,0,food,nablus,cash,1
0,70,34,9,2.9,55,825,22,109,23,5,food,jerusalem,cash,0
0,90,17,12,3.8,51,713,28,307,23,2,food,tel aviv,cash,0
1,103,24,12,4.5,7,652,1,175,8,0,online,nablus,cash,1
3,10,14,6,3.3,15,700,35,556,10,4,online,haifa,cash,0
3,150,9,12,5.0,38,166,30,580,7,1,food,haifa,cash,0
1,35,44,2,4.5,22,858,9,348,17,3,online,bethlehem,cash,0
1,115,31,7,4.6,48,442,23,599,15,6,package,jerusalem,cash,0
0,18,5,8,3.7,22,398,40,369,14,5,online,haifa,cash,1
0,69,6,4,3.7,55,459,65,417,18,6,package,ramallah,cash,1
0,153,20,12,4.2,52,572,31,585,9,4,package,bethlehem,cash,0
0,68,31,4,4.3,55,282,53,306,15,2,food,tel aviv,cash,0
1,160,31,6,3.8,17,340,48,337,14,5,package,haifa,cash,0
1,82,38,6,5.0,22,407,40,298,11,2,online,bethlehem,cash,0
0,71,25,11,4.9,72,184,70,27,17,3,online,tel aviv,cash,0
2,74,44,2,5.0,52,689,63,142,21,6,online,tel aviv,cash,0
1,108,24,2,3.7,76,518,53,556,11,5,package,nablus,cash,1
0,63,42,11,4.1,5,576,51,339,9,0,online,bethlehem,cash,0
1,56,32,16,3.3,44,400,59,512,10,2,food,jerusalem,cash,0
1,21,7,4,3.3,10,466,26,533,16,3,package,jerusalem,cash,0
2,17,19,1,4.2,3,111,21,249,21,2,food,ramallah,cash,0
0,59,25,5,4.1,55,405,3,202,20,3,package,bethlehem,cash,0
1,71,45,2,4.3,68,468,14,268,13,1,package,jerusalem,cash,0
1,99,39,12,5.0,44,360,58,176,17,4,online,nablus,cash,0
0,34,20,3,4.2,7,523,49,428,9,5,online,bethlehem,cash,0
1,137,44,5,5.0,62,295,17,191,22,5,package,tel aviv,cash,0
2,124,8,6,3.6,71,701,62,425,18,0,online,jerusalem,cash,0
0,7,14,9,3.4,3,550,36,172,9,4,package,tel aviv,cash,0
2,29,17,17,2.6,23,778,56,559,10,4,online,bethlehem,cash,0
1,8,28,8,3.2,13,89,56,120,14,2,food,nablus,cash,0
0,156,40,13,4.7,17,824,7,583,18,6,food,nablus,cash,0
1,180,18,9,3.1,65,695,12,138,12,2,online,bethlehem,cash,0
2,33,15,4,3.8,15,501,18,591,11,5,food,haifa,cash,0
2,23,25,16,2.6,22,898,47,465,9,5,package,ramallah,cash,0
3,117,40,11,2.9,68,844,27,506,9,5,online,jerusalem,cash,0
0,124,21,1,5.0,80,802,58,16,11,4,package,bethlehem,cash,1
3,51,44,4,4.8,19,280,11,369,7,3,package,ramallah,cash,0
2,101,40,9,5.0,29,439,11,97,12,0,online,nablus,cash,1
0,174,28,0,5.0,43,432,16,489,14,4,food,tel aviv,cash,1
0,80,23,9,2.3,17,656,18,70,10,0,food,nablus,cash,0
3,89,13,4,3.8,78,88,12,143,12,3,online,nablus,cash,0
1,35,15,8,2.5,15,566,36,27,17,6,package,ramallah,cash,0
2,100,18,1,4.1,30,511,9,540,23,1,food,bethlehem,cash,0
1,145,26,11,4.4,22,781,60,74,11,3,package,haifa,cash,1
0,15,25,16,3.6,16,411,10,549,13,0,food,haifa,cash,0
1,130,13,4,3.7,50,600,8,317,16,0,package,jerusalem,cash,0
0,29,29,1,4.5,11,718,1,167,9,3,food,tel aviv,cash,1
2,95,8,8,5.0,15,789,3,343,15,1,online,bethlehem,cash,0
1,147,40,2,3.9,65,580,21,376,15,5,online,jerusalem,cash,1
3,130,0,1,5.0,1,250,5,483,10,1,online,nablus,cash,1
3,82,15,13,4.2,40,381,15,514,20,1,food,jerusalem,cash,0
3,102,4,14,4.7,39,335,11,566,23,0,food,tel aviv,cash,0
1,159,15,14,5.0,63,750,69,251,16,5,food,haifa,cash,1
0,177,0,10,4.4,48,869,39,106,18,5,food,tel aviv,cash,1
3,71,5,1,2.8,66,469,10,594,8,1,package,ramallah,cash,0
2,145,3,13,5.0,16,242,37,267,9,4,online,ramallah,cash,0
0,115,17,7,5.0,25,111,19,108,17,2,online,nablus,cash,1
0,91,13,14,5.0,33,872,15,92,10,4,package,ramallah,cash,1
2,83,9,2,4.1,45,306,33,178,8,1,online,nablus,cash,1
0,118,6,4,4.5,7,850,28,133,14,0,package,bethlehem,cash,1
0,150,16,2,4.7,8,828,16,94,9,4,package,nablus,cash,0
2,43,36,13,4.8,25,508,3,391,21,0,food,jerusalem,cash,0
0,71,28,4,3.6,31,563,61,62,12,2,package,tel aviv,cash,1
2,134,15,17,3.7,48,800,45,491,13,5,food,ramallah,cash,0
0,99,17,5,4.7,76,797,35,59,23,2,package,bethlehem,cash,0
0,25,15,7,5.0,26,810,7,224,14,1,online,haifa,cash,1
3,151,20,11,4.2,3,581,18,576,12,1,package,tel aviv,cash,0
0,9,5,1,2.9,3,20,67,489,12,3,online,haifa,cash,1
0,82,3,0,4.4,18,881,46,74,12,6,food,haifa,cash,1
2,82,8,5,2.9,55,810,62,324,17,2,online,jerusalem,cash,0
0,78,44,9,0.0,0,718,50,581,12,3,food,nablus,cash,0
0,36,21,2,4.5,20,90,42,457,10,3,online,tel aviv,cash,1
0,65,6,0,5.0,56,750,53,170,9,2,food,nablus,cash,1
0,122,36,7,4.5,9,20,40,267,19,0,package,haifa,cash,0
0,19,35,2,3.4,19,494,3,441,19,1,package,tel aviv,cash,0
4,25,21,6,3.3,13,747,69,271,12,0,online,ramallah,cash,0
0,146,35,15,3.3,46,3,54,89,8,3,food,jerusalem,cash,0
4,43,40,9,4.2,30,407,60,500,7,1,food,jerusalem,cash,0
0,94,24,11,3.8,5,269,56,476,19,1,food,nablus,cash,0
0,178,42,3,4.7,44,774,29,566,11,6,online,jerusalem,cash,1
0,60,30,9,3.3,4,514,66,585,22,4,online,ramallah,cash,0
0,54,12,4,4.7,5,842,18,264,12,1,food,ramallah,cash,1
1,83,17,16,4.2,1,805,66,429,19,4,food,ramallah,cash,0
3,144,6,9,4.8,44,670,62,585,10,0,food,bethlehem,cash,0
0,158,38,12,4.0,42,707,30,50,19,1,food,haifa,cash,0
2,77,19,8,4.7,12,307,56,328,17,6,package,jerusalem,cash,0
2,113,13,13,4.3,66,888,47,57,9,1,online,nablus,cash,0
0,34,33,18,4.1,12,59,31,33,23,3,food,haifa,cash,0
1,118,32,12,4.1,15,697,3,247,15,2,online,tel aviv,cash,0
0,41,16,2,5.0,24,798,27,226,18,2,food,ramallah,cash,1
1,5,43,0,3.9,2,662,22,8,20,4,package,nablus,cash,0
0,96,22,14,4.1,59,638,50,598,15,3,online,nablus,cash,1
0,175,6,15,5.0,35,655,41,283,16,2,online,nablus,cash,1
2,61,3,12,3.8,17,302,33,428,23,6,food,tel aviv,cash,0
1,56,43,17,3.0,30,687,45,519,13,2,online,nablus,cash,0
2,24,30,4,4.1,23,187,42,91,12,2,online,bethlehem,cash,0
1,84,23,8,3.1,59,871,15,481,20,6,online,haifa,cash,1
0,174,24,16,4.7,6,205,43,419,23,0,package,tel aviv,cash,0
1,20,31,10,3.3,5,320,7,4,12,6,food,haifa,cash,0
1,22,8,13,2.9,12,4,4,546,12,3,food,bethlehem,cash,0
1,4,43,0,3.8,3,231,44,319,23,1,food,haifa,cash,0
3,16,2,9,3.4,14,345,55,137,16,1,online,bethlehem,cash,0
0,103,1,7,3.5,16,216,2,516,12,6,package,tel aviv,cash,1
1,163,16,17,5.0,76,669,2,49,8,3,online,nablus,cash,0
0,64,30,4,4.0,1,308,53,103,10,4,package,ramallah,cash,0
0,26,32,3,2.7,6,796,33,535,11,3,online,bethlehem,cash,0
3,10,35,15,3.5,15,338,30,2,16,1,online,ramallah,cash,0
2,23,32,2,4.5,3,467,37,270,22,1,food,bethlehem,cash,0
2,173,20,13,3.8,12,871,5,9,16,2,food,jerusalem,cash,0
2,68,5,11,4.6,23,467,34,394,21,4,package,haifa,cash,0
4,33,44,1,4.2,10,106,53,494,12,0,package,nablus,cash,0
3,91,39,0,3.5,16,421,56,47,19,6,food,bethlehem,cash,0
4,147,36,7,4.5,43,531,66,97,23,6,food,nablus,cash,0
0,142,39,1,3.6,20,507,21,76,19,1,package,haifa,cash,0
1,129,14,17,4.4,51,836,30,80,15,0,food,haifa,cash,0
0,30,31,0,4.6,26,845,11,311,21,2,food,ramallah,cash,0
2,93,3,7,4.5,42,573,60,372,21,2,online,nablus,cash,0
1,87,22,9,4.2,47,168,63,143,14,0,food,nablus,cash,0
1,30,25,6,3.5,12,733,43,110,13,1,food,haifa,cash,0
4,115,29,18,4.5,17,753,6,566,10,6,online,nablus,cash,0
2,32,6,12,3.7,20,516,49,428,12,5,online,tel aviv,cash,0
1,115,8,4,4.1,65,881,40,566,17,2,package,ramallah,cash,0
4,88,43,4,5.0,22,515,69,330,16,5,food,bethlehem,cash,0
2,136,18,13,4.9,66,54,7,204,20,5,online,ramallah,cash,0
0,15,44,9,4.0,17,33,45,463,15,1,package,nablus,cash,0
2,130,44,9,5.0,6,807,40,565,19,1,online,nablus,cash,1
2,57,40,11,3.7,34,756,25,198,21,6,food,bethlehem,cash,0
0,131,7,12,4.1,35,598,32,5,12,1,online,jerusalem,cash,1
1,13,40,9,3.4,18,563,45,74,17,4,food,tel aviv,cash,0
1,17,32,5,3.0,17,218,42,339,12,4,online,tel aviv,cash,0
2,166,0,3,4.8,57,246,31,40,22,4,online,bethlehem,cash,0
3,138,18,0,3.6,47,498,5,303,19,2,package,jerusalem,cash,0
0,42,34,17,3.7,4,215,27,434,9,0,package,bethlehem,cash,0
0,18,43,4,3.4,22,55,22,257,20,5,online,nablus,cash,0
0,161,25,13,4.7,49,689,15,547,19,3,package,ramallah,cash,1
0,18,22,16,3.5,21,783,56,390,8,5,online,bethlehem,cash,0
4,100,34,9,4.7,18,305,47,11,14,1,package,tel aviv,cash,0
1,152,25,17,4.0,10,743,44,216,7,4,food,jerusalem,cash,0
0,64,12,3,5.0,6,871,70,472,14,4,food,tel aviv,cash,1
1,25,12,18,3.0,10,240,12,291,9,2,package,nablus,cash,0
2,157,42,9,5.0,19,579,46,323,21,2,package,ramallah,cash,0
0,56,45,13,4.7,23,898,61,473,14,6,food,haifa,cash,0
2,165,38,2,5.0,17,551,25,269,10,1,package,bethlehem,cash,0
2,129,40,0,3.6,74,37,70,266,7,6,online,jerusalem,cash,0
0,57,37,9,4.5,32,522,11,406,18,3,online,tel aviv,cash,0
0,131,8,14,5.0,72,149,61,367,12,6,online,tel aviv,cash,1
1,59,2,6,3.7,46,397,60,465,15,2,food,jerusalem,cash,0
2,133,40,8,3.6,33,385,48,374,10,5,online,haifa,cash,0
2,132,25,11,4.0,44,498,61,6,19,1,online,haifa,cash,0
0,131,41,8,4.9,23,836,15,235,14,0,package,tel aviv,cash,1
1,122,30,6,5.0,52,22,31,44,22,5,online,jerusalem,cash,1
0,146,9,1,3.7,23,577,2,290,23,0,food,nablus,cash,0
2,123,10,7,4.3,76,146,23,523,22,6,package,bethlehem,cash,0
0,96,24,4,2.8,25,700,53,153,9,1,package,bethlehem,cash,0
0,136,32,3,4.2,16,617,69,1,8,6,package,bethlehem,cash,0
1,11,44,16,3.7,15,603,12,435,18,6,online,ramallah,cash,0
0,139,26,8,0.0,0,591,66,120,16,4,food,jerusalem,cash,0
1,92,6,4,3.7,74,259,33,548,17,3,online,tel aviv,cash,0
2,52,26,17,4.3,30,495,32,314,19,6,online,haifa,cash,0
0,58,28,5,4.8,51,804,43,563,10,5,online,tel aviv,cash,0
3,23,9,15,4.1,13,379,10,38,7,6,food,ramallah,cash,0
1,152,3,5,4.7,56,10,25,530,23,2,online,nablus,cash,1
2,59,39,5,4.0,46,161,11,282,23,5,online,bethlehem,cash,0
2,51,33,0,3.9,4,92,70,291,19,4,online,ramallah,cash,0
1,49,29,12,4.3,16,572,9,515,14,4,package,haifa,cash,0
1,113,24,18,5.0,31,775,43,469,15,5,online,haifa,cash,0
2,97,40,7,4.6,29,361,66,548,15,0,package,jerusalem,cash,1
1,172,21,2,3.7,22,487,40,362,9,3,food,haifa,cash,1
3,51,15,7,4.1,13,856,45,159,13,3,food,nablus,cash,0
2,1,34,1,4.7,2,635,40,504,22,4,food,nablus,cash,0
0,101,14,18,4.6,67,553,4,514,23,2,package,tel aviv,cash,0
0,80,44,0,3.4,26,388,12,333,23,3,package,jerusalem,cash,0
1,68,30,10,3.4,63,770,47,373,15,1,food,bethlehem,cash,0
2,175,14,3,4.7,30,568,55,390,11,4,package,tel aviv,cash,1
1,127,8,16,4.5,40,575,6,407,12,3,package,jerusalem,cash,1
2,161,6,14,3.8,33,369,46,573,15,3,food,tel aviv,cash,0
1,89,43,6,4.8,68,363,41,522,20,0,package,jerusalem,cash,0
1,161,9,5,5.0,43,431,51,73,16,3,food,ramallah,cash,1
1,74,45,8,4.0,50,883,46,533,17,5,food,haifa,cash,0
3,60,42,8,4.8,10,215,21,406,7,1,food,tel aviv,cash,0
0,101,33,2,5.0,79,399,39,234,8,0,package,bethlehem,cash,1
0,134,10,0,5.0,45,881,41,487,11,1,package,nablus,cash,1
1,138,11,18,4.4,80,445,67,546,11,5,online,ramallah,cash,0
1,22,28,9,2.2,8,159,38,10,14,6,package,bethlehem,cash,1
3,2,44,15,3.1,7,817,37,236,22,4,package,haifa,cash,0
2,63,10,12,5.0,28,269,10,432,20,3,food,ramallah,cash,0
0,48,4,5,3.2,7,278,62,192,15,3,package,nablus,cash,1
0,26,18,8,2.9,28,744,1,238,7,1,food,bethlehem,cash,1
1,79,31,11,3.5,4,149,7,272,17,3,package,tel aviv,cash,0
0,64,24,0,5.0,31,394,56,253,12,1,online,ramallah,cash,1
1,170,13,15,4.8,39,745,5,562,10,4,food,ramallah,cash,0
4,92,3,6,4.2,30,648,55,332,16,1,package,nablus,cash,1
1,62,0,1,3.9,60,789,11,254,19,6,online,jerusalem,cash,1
1,160,3,1,4.0,19,718,68,109,17,6,online,bethlehem,cash,1
2,112,12,0,4.3,45,40,62,448,18,6,package,bethlehem,cash,0
0,89,20,14,3.8,76,881,70,164,12,4,food,bethlehem,cash,1
2,93,29,0,4.0,64,19,46,244,15,4,package,haifa,cash,0
2,134,43,15,4.7,19,627,36,330,19,1,online,bethlehem,cash,0
0,17,2,4,3.8,1,101,4,584,23,5,food,jerusalem,cash,0
0,179,37,8,5.0,28,620,9,13,23,4,online,ramallah,cash,0
1,163,3,11,4.9,53,59,34,541,9,3,online,ramallah,cash,1
1,24,6,7,2.5,6,197,67,254,13,4,package,jerusalem,cash,0
1,27,40,18,3.5,29,106,21,184,20,5,online,nablus,cash,0
2,80,35,10,3.5,52,782,55,331,21,2,online,tel aviv,cash,0
0,115,28,12,5.0,4,530,17,309,15,2,package,bethlehem,cash,1
1,176,17,17,4.3,73,585,19,96,7,6,food,haifa,cash,1
0,149,15,7,5.0,38,222,9,332,15,2,food,tel aviv,cash,0
2,164,19,1,4.8,73,390,10,57,10,4,package,nablus,cash,0
1,30,14,0,4.5,24,326,69,578,20,6,package,ramallah,cash,1
